rank,docid,score,qid,label,query
23,3387556,21.14,1037798,1,who is robert gray
92,3167284,18.72,1037798,1,who is robert gray
50,4095286,19.51,1037798,2,who is robert gray
17,3641640,21.94,1037798,1,who is robert gray
2,3641634,28.21,1037798,3,who is robert gray
43,7822415,19.79,1037798,2,who is robert gray
137,7466652,18.02,1037798,1,who is robert gray
192,8537479,17.51,1037798,1,who is robert gray
67,8760871,19.25,1037798,3,who is robert gray
136,6060285,18.02,1037798,2,who is robert gray
101,5438881,18.48,1037798,2,who is robert gray
66,4974552,19.25,1037798,1,who is robert gray
164,720665,17.79,1037798,2,who is robert gray
3,409268,38.97,104861,1,cost of interior concrete flooring
259,5652264,27.05,104861,1,cost of interior concrete flooring
147,5652263,29.1,104861,2,cost of interior concrete flooring
295,5652262,26.64,104861,2,cost of interior concrete flooring
210,5652261,27.75,104861,1,cost of interior concrete flooring
223,5652266,27.6,104861,2,cost of interior concrete flooring
235,5483490,27.47,104861,2,cost of interior concrete flooring
426,5394110,25.57,104861,2,cost of interior concrete flooring
194,5662654,28.04,104861,2,cost of interior concrete flooring
-1,5688423,-1.0,104861,2,cost of interior concrete flooring
-1,5688422,-1.0,104861,1,cost of interior concrete flooring
107,5688420,30.63,104861,2,cost of interior concrete flooring
189,5688418,28.13,104861,2,cost of interior concrete flooring
105,5688417,30.63,104861,2,cost of interior concrete flooring
103,5688416,30.68,104861,2,cost of interior concrete flooring
38,5688415,33.3,104861,2,cost of interior concrete flooring
143,5667475,29.19,104861,2,cost of interior concrete flooring
899,5248344,22.92,104861,2,cost of interior concrete flooring
-1,4819155,-1.0,104861,1,cost of interior concrete flooring
52,4717134,32.72,104861,2,cost of interior concrete flooring
0,459676,40.68,104861,2,cost of interior concrete flooring
9,459675,37.41,104861,2,cost of interior concrete flooring
301,4452306,26.6,104861,1,cost of interior concrete flooring
347,4350439,26.13,104861,1,cost of interior concrete flooring
-1,7302612,-1.0,104861,2,cost of interior concrete flooring
719,5073457,23.73,104861,1,cost of interior concrete flooring
61,5138467,32.26,104861,2,cost of interior concrete flooring
-1,5248343,-1.0,104861,2,cost of interior concrete flooring
603,5248342,24.37,104861,2,cost of interior concrete flooring
74,5248341,31.88,104861,2,cost of interior concrete flooring
84,5248340,31.43,104861,2,cost of interior concrete flooring
36,5150431,33.34,104861,2,cost of interior concrete flooring
313,5138476,26.51,104861,2,cost of interior concrete flooring
57,5138474,32.38,104861,2,cost of interior concrete flooring
531,5138473,24.79,104861,2,cost of interior concrete flooring
71,5138472,31.95,104861,2,cost of interior concrete flooring
337,5138471,26.25,104861,2,cost of interior concrete flooring
64,5138470,32.17,104861,2,cost of interior concrete flooring
97,5138469,30.88,104861,2,cost of interior concrete flooring
94,5138468,31.07,104861,2,cost of interior concrete flooring
5,5703400,38.8,104861,2,cost of interior concrete flooring
108,6585554,30.61,104861,2,cost of interior concrete flooring
221,6467583,27.6,104861,2,cost of interior concrete flooring
255,6467581,27.09,104861,2,cost of interior concrete flooring
-1,6585562,-1.0,104861,2,cost of interior concrete flooring
78,6467580,31.65,104861,2,cost of interior concrete flooring
131,6467578,29.5,104861,2,cost of interior concrete flooring
130,6467577,29.5,104861,2,cost of interior concrete flooring
139,6467579,29.28,104861,2,cost of interior concrete flooring
163,6653674,28.53,104861,2,cost of interior concrete flooring
274,6653675,26.87,104861,2,cost of interior concrete flooring
115,715676,30.45,104861,2,cost of interior concrete flooring
-1,6904992,-1.0,104861,2,cost of interior concrete flooring
54,6704672,32.61,104861,2,cost of interior concrete flooring
13,6658615,36.47,104861,2,cost of interior concrete flooring
380,6653679,25.94,104861,1,cost of interior concrete flooring
445,6653678,25.41,104861,2,cost of interior concrete flooring
580,6653677,24.52,104861,2,cost of interior concrete flooring
-1,599606,-1.0,104861,2,cost of interior concrete flooring
212,599604,27.74,104861,2,cost of interior concrete flooring
366,5864695,26.03,104861,1,cost of interior concrete flooring
6,5864693,38.48,104861,2,cost of interior concrete flooring
44,5864689,32.98,104861,1,cost of interior concrete flooring
41,5836442,33.21,104861,2,cost of interior concrete flooring
31,5801822,33.75,104861,2,cost of interior concrete flooring
1,5703401,40.29,104861,2,cost of interior concrete flooring
4,6351571,38.87,104861,2,cost of interior concrete flooring
96,629278,31.03,104861,2,cost of interior concrete flooring
136,629277,29.42,104861,2,cost of interior concrete flooring
178,629276,28.25,104861,2,cost of interior concrete flooring
100,629274,30.81,104861,2,cost of interior concrete flooring
145,629270,29.14,104861,2,cost of interior concrete flooring
156,6241793,28.83,104861,2,cost of interior concrete flooring
240,6241791,27.39,104861,2,cost of interior concrete flooring
80,6187055,31.64,104861,2,cost of interior concrete flooring
962,6056676,22.72,104861,1,cost of interior concrete flooring
961,4230213,22.72,104861,2,cost of interior concrete flooring
77,2377050,31.71,104861,2,cost of interior concrete flooring
-1,2611066,-1.0,104861,2,cost of interior concrete flooring
-1,2278231,-1.0,104861,2,cost of interior concrete flooring
394,2908924,25.81,104861,1,cost of interior concrete flooring
225,2916631,27.55,104861,1,cost of interior concrete flooring
432,1814642,25.49,104861,2,cost of interior concrete flooring
237,1922603,27.44,104861,1,cost of interior concrete flooring
66,1948963,32.04,104861,2,cost of interior concrete flooring
342,1977801,26.21,104861,1,cost of interior concrete flooring
34,1995989,33.55,104861,1,cost of interior concrete flooring
284,3560539,26.74,104861,1,cost of interior concrete flooring
29,3925933,34.03,104861,2,cost of interior concrete flooring
249,4017854,27.17,104861,2,cost of interior concrete flooring
-1,4017855,-1.0,104861,2,cost of interior concrete flooring
203,4017856,27.81,104861,2,cost of interior concrete flooring
232,4017858,27.47,104861,2,cost of interior concrete flooring
500,4043623,24.94,104861,1,cost of interior concrete flooring
344,3443176,26.21,104861,2,cost of interior concrete flooring
881,298180,22.99,104861,2,cost of interior concrete flooring
16,314919,35.76,104861,1,cost of interior concrete flooring
87,3443173,31.36,104861,2,cost of interior concrete flooring
323,4230210,26.37,104861,2,cost of interior concrete flooring
336,1773807,26.25,104861,2,cost of interior concrete flooring
292,8056409,26.66,104861,1,cost of interior concrete flooring
164,8056411,28.5,104861,1,cost of interior concrete flooring
191,7506029,28.13,104861,1,cost of interior concrete flooring
117,7506027,30.4,104861,2,cost of interior concrete flooring
79,7506026,31.65,104861,2,cost of interior concrete flooring
45,1017092,32.96,104861,2,cost of interior concrete flooring
90,7506028,31.2,104861,1,cost of interior concrete flooring
